trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.9, 'e': 0.7075124871065017}",20,0,-74.36199103829362,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
173,False,"{'a': 0.9, 'e': 0.7060988762143844}",25,14,-22.323181889780518,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.7046880897187134}",25,5,-104.18158395442755,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",1
175,False,"{'a': 0.9, 'e': 0.7032801219763409}",25,0,-150.6753571182843,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
176,False,"{'a': 0.9, 'e': 0.701874967355394}",20,0,-33.999705392993086,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
177,False,"{'a': 0.9, 'e': 0.7004726202352524}",30,12,-20.06928616549,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.6990730750065257}",25,0,-86.19077226472146,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
179,False,"{'a': 0.9, 'e': 0.697676326071031}",20,0,-49.568881035819714,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
180,False,"{'a': 0.9, 'e': 0.696282367841771}",20,0,-48.85600749857725,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.9, 'e': 0.6948911947429106}",25,13,-14.421457308225747,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
